message_id,timestamp_iso,author_name,author_nickname,week_no,raw_text,attachment_files,attachment_count
1327248037025677363,2025-01-10T13:09:51.103+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-0d75f947b086a3b1.png,1
1327248114695929867,2025-01-10T13:10:09.621+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-ec5c2dd2d708910a.png,1
1329775870566596709,2025-01-17T12:34:33.584+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],18,"18. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1329775965437427723,2025-01-17T12:34:56.203+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-7f44ec67df58b598.png,1
1329776040746291200,2025-01-17T12:35:14.158+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-947925ad2159daf3.png,1
1329776224058343507,2025-01-17T12:35:57.863+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-d2704851e33115cf.png,1
1331873086479274077,2025-01-23T07:28:08.822+01:00,alenokc,AlenOKC,17,"17. trening: Met pod košem za C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-0ddc1aac7e0c4823.png,1
1332961513085993122,2025-01-26T07:33:09.947+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],19,"19. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1332961784096882699,2025-01-26T07:34:14.561+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-c6b114c0b7a7d1c1.png,1
1332961827809923124,2025-01-26T07:34:24.983+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-622ef4aa39438c56.png,1
1332961882520293397,2025-01-26T07:34:38.027+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-2d840f598832b534.png,1
1334222617023877150,2025-01-29T19:04:20.556+01:00,alenokc,AlenOKC,18,"18. trening: Met pod košem za C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-f25c65ea9ac29cea.png,1
1334846599859408961,2025-01-31T12:23:49.657+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],20,"20. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1334846692159258715,2025-01-31T12:24:11.663+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-902006d823782b2c.png,1
1334846729442562148,2025-01-31T12:24:20.552+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-583d065165cf6fa5.png,1
1334846773243416577,2025-01-31T12:24:30.995+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-a7ba2979d48caf20.png,1
1337057411776643083,2025-02-06T14:48:48.293+01:00,alenokc,AlenOKC,19,"19. trening: Met pod košem za C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-dd400924700738c6.png,1
1337388264402976818,2025-02-07T12:43:29.706+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],21,"21. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1337388364873334827,2025-02-07T12:43:53.66+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-eced582fe122dc44.png,1
