player,player_id,author,skill,from_level,to_level,delta,week_from,week_to,date_from,date_to,weeks_in_interval,training_keys,training_names,clean_interval,from_baseline_week0,source
Jure Plesavec,53897751,pjtr576,dr,3,4,1,24,25,2025-02-28,2025-03-07,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,id,10,11,1,24,25,2025-02-28,2025-03-07,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,ft,7,8,1,25,26,2025-03-07,2025-03-14,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,id,11,12,1,25,26,2025-03-07,2025-03-14,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,is,3,4,1,27,28,2025-03-21,2025-03-28,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,rb,11,12,1,27,28,2025-03-21,2025-03-28,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,id,12,13,1,28,29,2025-03-28,2025-04-04,1,27,Rebounding,True,False,series
Jure Plesavec,53897751,pjtr576,id,13,14,1,30,31,2025-04-11,2025-04-18,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,st,1,2,1,30,31,2025-04-11,2025-04-18,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,pa,6,7,1,32,33,2025-04-25,2025-05-04,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,ha,6,7,1,33,34,2025-05-04,2025-05-09,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,st,1,2,1,33,34,2025-05-04,2025-05-09,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,pa,7,8,1,34,35,2025-05-09,2025-05-16,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,sb,16,17,1,35,36,2025-05-16,2025-05-23,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,rb,12,13,1,36,37,2025-05-23,2025-05-30,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,id,14,15,1,37,38,2025-05-30,2025-06-06,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,id,15,16,1,39,40,2025-06-13,2025-06-20,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,dr,4,5,1,40,41,2025-06-20,2025-06-27,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,is,4,5,1,40,41,2025-06-20,2025-06-27,1,24,Inside Defense,True,False,series
Jure Plesavec,53897751,pjtr576,pa,8,9,1,41,42,2025-06-27,2025-07-04,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,pa,9,10,1,43,44,2025-07-11,2025-07-18,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,od,6,7,1,44,45,2025-07-18,2025-07-26,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,ha,7,8,1,45,46,2025-07-26,2025-08-01,1,18,Passing,True,False,series
Jure Plesavec,53897751,pjtr576,sb,17,18,1,46,47,2025-08-01,2025-08-08,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,16,17,1,47,48,2025-08-08,2025-08-15,1,29,Shot Blocking,True,False,series
